checkout_id,member_id,book_id,checkout_date,return_date,member_id.1,first_name,last_name,grade,neighborhood,membership_status,join_date,book_id.1,title,author,genre,pages,publication_year,publisher
9263,1047,517,2024-10-21,2024-11-07,1047,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,517,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House
9340,1072,513,2025-08-24,2025-09-01,1072,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9231,1053,523,2024-02-04,2024-02-16,1053,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,523,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books
9129,1032,513,2025-06-21,2025-06-29,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9370,1079,511,2025-11-11,2025-12-03,1079,Rana,Osman,8.0,Shubra,Active,2024-10-27,511,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press
9082,1010,528,2025-11-11,2025-11-18,1010,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,528,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House
9238,1057,513,2024-03-28,2024-04-08,1057,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9012,1010,501,2025-02-17,,1010,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9127,1024,506,2025-06-13,,1024,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,506,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press
9020,1016,506,2024-04-15,2024-05-04,1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,506,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press
9208,1044,525,2024-07-10,2024-08-01,1044,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,525,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9319,1065,515,2025-02-10,2025-02-21,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,515,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9097,1018,501,2025-10-05,2025-10-14,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9137,1041,519,2025-07-27,2025-08-05,1041,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,519,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9157,1032,525,2024-03-04,2024-04-03,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,525,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9383,1070,501,2024-07-11,2024-07-31,1070,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9131,1034,505,2025-12-16,2025-12-25,1034,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,505,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9113,1027,507,2024-06-26,2024-07-08,1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9144,1024,501,2025-11-07,2025-11-25,1024,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9005,1008,513,2025-04-20,2025-04-29,1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9272,1044,518,2025-01-24,2025-02-04,1044,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,518,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House
9283,1072,513,2025-09-17,2025-09-25,1072,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9030,1018,507,2025-03-09,,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9291,1065,526,2024-03-25,2024-03-31,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,526,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House
9369,1076,501,2025-06-05,,1076,Dina,Wahba,7.0,Shubra,Active,2025-12-13,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9225,1059,516,2025-08-06,2025-08-22,1059,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,516,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press
9256,1059,521,2025-07-09,,1059,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,521,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9234,1053,525,2024-02-13,2024-03-06,1053,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,525,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9152,1030,525,2025-01-03,,1030,Reem,Osman,,Nasr City,Active,2025-04-01,525,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9063,1018,515,2024-10-22,,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,515,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9161,1040,519,2025-10-11,2025-11-01,1040,Dina,Adel,9.0,Nasr City,Active,2025-12-26,519,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9206,1050,519,2024-03-17,,1050,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,519,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9031,1020,530,2025-12-28,2026-01-05,1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,530,The Sandstone Key,Sara Tantawy,Adventure,208,2012.0,Oasis Books
9189,1032,507,2025-12-08,2025-12-16,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9288,1065,519,2025-03-20,2025-03-31,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,519,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9236,1052,507,2024-09-02,2024-09-29,1052,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9360,1077,520,2024-03-04,2024-03-16,1077,Lina,Rashad,6.0,Shubra,Active,2023-07-08,520,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books
9111,1027,510,2024-09-12,2024-10-03,1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,510,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers
9342,1068,501,2025-05-28,2025-06-27,1068,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9380,1022,513,2024-04-22,2024-04-28,1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9302,1061,507,2024-06-22,,1061,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9173,1027,532,2025-03-10,2025-04-06,1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,532,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9019,1014,513,2024-03-06,2024-03-23,1014,Habiba,Nabil,6.0,Maadi,Active,2024-07-09,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9143,1024,518,2025-10-02,,1024,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,518,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House
9222,1050,505,2024-01-09,2024-02-01,1050,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,505,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
